Site,Variant,Side,MoveId,Move,FEN,Eval
https://lichess.org/xoMXrRFU,Standard,w,19,Qa4,r1bqk2r/pp3ppp/1bn1p3/1B1pP3/QP6/2P5/P4PPP/RNB1K2R b KQkq - 1 10,cp 34 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,20,O-O,r1bq1rk1/pp3ppp/1bn1p3/1B1pP3/QP6/2P5/P4PPP/RNB1K2R w KQ - 2 11,cp -29 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,21,Bxc6,r1bq1rk1/pp3ppp/1bB1p3/3pP3/QP6/2P5/P4PPP/RNB1K2R b KQ - 0 11,cp 40 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,22,bxc6,r1bq1rk1/p4ppp/1bp1p3/3pP3/QP6/2P5/P4PPP/RNB1K2R w KQ - 0 12,cp 37 upperbound
https://lichess.org/xoMXrRFU,Standard,w,23,Be3,r1bq1rk1/p4ppp/1bp1p3/3pP3/QP6/2P1B3/P4PPP/RN2K2R b KQ - 1 12,cp -40 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,24,Bxe3,r1bq1rk1/p4ppp/2p1p3/3pP3/QP6/2P1b3/P4PPP/RN2K2R w KQ - 0 13,cp 31 upperbound
https://lichess.org/xoMXrRFU,Standard,w,25,fxe3,r1bq1rk1/p4ppp/2p1p3/3pP3/QP6/2P1P3/P5PP/RN2K2R b KQ - 0 13,cp -35
https://lichess.org/xoMXrRFU,Standard,w,26,Bd7,r2q1rk1/p2b1ppp/2p1p3/3pP3/QP6/2P1P3/P5PP/RN2K2R w KQ - 1 14,cp 40
https://lichess.org/xoMXrRFU,Standard,w,27,O-O,r2q1rk1/p2b1ppp/2p1p3/3pP3/QP6/2P1P3/P5PP/RN3RK1 b - - 2 14,cp -34 upperbound
https://lichess.org/xoMXrRFU,Standard,w,28,Qb6,r4rk1/p2b1ppp/1qp1p3/3pP3/QP6/2P1P3/P5PP/RN3RK1 w - - 3 15,cp -26
https://lichess.org/xoMXrRFU,Standard,w,29,Rf3,r4rk1/p2b1ppp/1qp1p3/3pP3/QP6/2P1PR2/P5PP/RN4K1 b - - 4 15,cp 22
https://lichess.org/xoMXrRFU,Standard,w,30,a5,r4rk1/3b1ppp/1qp1p3/p2pP3/QP6/2P1PR2/P5PP/RN4K1 w - - 0 16,cp -25 upperbound
https://lichess.org/xoMXrRFU,Standard,w,31,Nd2,r4rk1/3b1ppp/1qp1p3/p2pP3/QP6/2P1PR2/P2N2PP/R5K1 b - - 1 16,cp 18 upperbound
https://lichess.org/xoMXrRFU,Standard,w,32,axb4,r4rk1/3b1ppp/1qp1p3/3pP3/Qp6/2P1PR2/P2N2PP/R5K1 w - - 0 17,cp -15 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,33,Qxb4,r4rk1/3b1ppp/1qp1p3/3pP3/1Q6/2P1PR2/P2N2PP/R5K1 b - - 0 17,cp 26 upperbound
https://lichess.org/xoMXrRFU,Standard,w,34,Qc7,r4rk1/2qb1ppp/2p1p3/3pP3/1Q6/2P1PR2/P2N2PP/R5K1 w - - 1 18,cp -12 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,35,Nb3,r4rk1/2qb1ppp/2p1p3/3pP3/1Q6/1NP1PR2/P5PP/R5K1 b - - 2 18,cp -24
https://lichess.org/xoMXrRFU,Standard,w,36,c5,r4rk1/2qb1ppp/4p3/2ppP3/1Q6/1NP1PR2/P5PP/R5K1 w - - 0 19,cp 16
https://lichess.org/xoMXrRFU,Standard,w,37,Qxc5,r4rk1/2qb1ppp/4p3/2QpP3/8/1NP1PR2/P5PP/R5K1 b - - 0 19,cp -2 upperbound
https://lichess.org/xoMXrRFU,Standard,w,38,Qxe5,r4rk1/3b1ppp/4p3/2Qpq3/8/1NP1PR2/P5PP/R5K1 w - - 0 20,cp 6
https://lichess.org/xoMXrRFU,Standard,w,39,Qd4,r4rk1/3b1ppp/4p3/3pq3/3Q4/1NP1PR2/P5PP/R5K1 b - - 1 20,cp -0 upperbound
https://lichess.org/xoMXrRFU,Standard,w,40,Qc7,r4rk1/2qb1ppp/4p3/3p4/3Q4/1NP1PR2/P5PP/R5K1 w - - 2 21,cp -5
https://lichess.org/xoMXrRFU,Standard,w,41,Nc5,r4rk1/2qb1ppp/4p3/2Np4/3Q4/2P1PR2/P5PP/R5K1 b - - 3 21,cp 1 upperbound
https://lichess.org/xoMXrRFU,Standard,w,42,Bb5,r4rk1/2q2ppp/4p3/1bNp4/3Q4/2P1PR2/P5PP/R5K1 w - - 4 22,cp -11 upperbound
https://lichess.org/xoMXrRFU,Standard,w,43,a4,r4rk1/2q2ppp/4p3/1bNp4/P2Q4/2P1PR2/6PP/R5K1 b - - 0 22,cp -4
https://lichess.org/xoMXrRFU,Standard,w,44,Be2,r4rk1/2q2ppp/4p3/2Np4/P2Q4/2P1PR2/4b1PP/R5K1 w - - 1 23,cp -1 upperbound
https://lichess.org/xoMXrRFU,Standard,w,45,Rf2,r4rk1/2q2ppp/4p3/2Np4/P2Q4/2P1P3/4bRPP/R5K1 b - - 2 23,cp -0 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,46,Bc4,r4rk1/2q2ppp/4p3/2Np4/P1bQ4/2P1P3/5RPP/R5K1 w - - 3 24,cp -3
https://lichess.org/xoMXrRFU,Standard,w,47,Rb2,r4rk1/2q2ppp/4p3/2Np4/P1bQ4/2P1P3/1R4PP/R5K1 b - - 4 24,cp -3 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,48,Rab8,1r3rk1/2q2ppp/4p3/2Np4/P1bQ4/2P1P3/1R4PP/R5K1 w - - 5 25,cp 36 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,49,Rxb8,1R3rk1/2q2ppp/4p3/2Np4/P1bQ4/2P1P3/6PP/R5K1 b - - 0 25,cp -35
https://lichess.org/xoMXrRFU,Standard,w,50,Rxb8,1r4k1/2q2ppp/4p3/2Np4/P1bQ4/2P1P3/6PP/R5K1 w - - 0 26,cp 37 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,51,h4,1r4k1/2q2ppp/4p3/2Np4/P1bQ3P/2P1P3/6P1/R5K1 b - - 0 26,cp -24 upperbound
https://lichess.org/xoMXrRFU,Standard,w,52,Rf8,5rk1/2q2ppp/4p3/2Np4/P1bQ3P/2P1P3/6P1/R5K1 w - - 1 27,cp 35 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,53,Kf2,5rk1/2q2ppp/4p3/2Np4/P1bQ3P/2P1P3/5KP1/R7 b - - 2 27,cp -28
https://lichess.org/xoMXrRFU,Standard,w,54,e5,5rk1/2q2ppp/8/2Npp3/P1bQ3P/2P1P3/5KP1/R7 w - - 0 28,cp 24 upperbound
https://lichess.org/xoMXrRFU,Standard,w,55,Qg4,5rk1/2q2ppp/8/2Npp3/P1b3QP/2P1P3/5KP1/R7 b - - 1 28,cp -33
https://lichess.org/xoMXrRFU,Standard,w,56,Qxc5,5rk1/5ppp/8/2qpp3/P1b3QP/2P1P3/5KP1/R7 w - - 0 29,cp 40 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,57,a5,5rk1/5ppp/8/P1qpp3/2b3QP/2P1P3/5KP1/R7 b - - 0 29,cp -26 upperbound
https://lichess.org/xoMXrRFU,Standard,w,58,d4,5rk1/5ppp/8/P1q1p3/2bp2QP/2P1P3/5KP1/R7 w - - 0 30,cp 30 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,59,cxd4,5rk1/5ppp/8/P1q1p3/2bP2QP/4P3/5KP1/R7 b - - 0 30,cp -23
https://lichess.org/xoMXrRFU,Standard,w,60,exd4,5rk1/5ppp/8/P1q5/2bp2QP/4P3/5KP1/R7 w - - 0 31,cp -409
https://lichess.org/xoMXrRFU,Standard,w,61,Qxd4,5rk1/5ppp/8/P1q5/2bQ3P/4P3/5KP1/R7 b - - 0 31,cp -25 upperbound
https://lichess.org/xoMXrRFU,Standard,w,62,Qf5+,5rk1/5ppp/8/P4q2/2bQ3P/4P3/5KP1/R7 w - - 1 32,cp 22 upperbound
https://lichess.org/xoMXrRFU,Standard,w,63,Qf4,5rk1/5ppp/8/P4q2/2b2Q1P/4P3/5KP1/R7 b - - 2 32,cp -22 upperbound
https://lichess.org/xoMXrRFU,Standard,w,64,Qc2+,5rk1/5ppp/8/P7/2b2Q1P/4P3/2q2KP1/R7 w - - 3 33,cp 26 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,65,Kf3,5rk1/5ppp/8/P7/2b2Q1P/4PK2/2q3P1/R7 b - - 4 33,cp -20 upperbound
https://lichess.org/xoMXrRFU,Standard,w,66,Bd5+,5rk1/5ppp/8/P2b4/5Q1P/4PK2/2q3P1/R7 w - - 5 34,cp 20 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,67,e4,5rk1/5ppp/8/P2b4/4PQ1P/5K2/2q3P1/R7 b - - 0 34,cp -13 upperbound
https://lichess.org/xoMXrRFU,Standard,w,68,Qc3+,5rk1/5ppp/8/P2b4/4PQ1P/2q2K2/6P1/R7 w - - 1 35,cp 26 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,69,Qe3,5rk1/5ppp/8/P2b4/4P2P/2q1QK2/6P1/R7 b - - 2 35,cp -20
https://lichess.org/xoMXrRFU,Standard,w,70,Qxa1,5rk1/5ppp/8/P2b4/4P2P/4QK2/6P1/q7 w - - 0 36,cp 14 upperbound
